City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
3,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
9,Port Blair,IN,84.13,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
10,Saint George,US,81.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Matara,LK,82.47,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
16,Rikitea,PF,76.05,broken clouds,-23.1203,-134.9692,People ThankYou
22,Rae Bareli,IN,89.49,clear sky,26.2167,81.2333,Hotel Ashirwad Inn
25,Giddalur,IN,85.96,broken clouds,15.35,78.9167,Shivaji Lodge
33,Seoul,KR,81.97,mist,37.5683,126.9778,롯데호텔 서울
34,Ho Chi Minh City,VN,84.22,broken clouds,10.75,106.6667,Windsor Plaza Hotel
35,Tabas,IR,75.42,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
37,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Porto Novo,BJ,75.06,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
39,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
43,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.0833,Scoop Guest House
50,Laguna,US,84.38,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
51,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Amahai,ID,86.65,broken clouds,-3.3333,128.9167,HOTEL ISABELA
53,Atuona,PF,79.11,scattered clouds,-9.8,-139.0333,Villa Enata
54,Biak,ID,82.02,scattered clouds,-0.9131,122.8766,Penginapan Kim
58,Luba,GQ,76.89,moderate rain,3.4568,8.5547,
60,Ruteng,ID,75.15,few clouds,-8.6136,120.4721,Hotel FX 72
64,Weligama,LK,82.27,overcast clouds,5.9667,80.4167,Weligama Bay Resort
65,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Niamey,NE,82.76,overcast clouds,13.5137,2.1098,Soluxe Hotel Niamey
69,Kawalu,ID,84.87,broken clouds,-7.3817,108.2082,West Jontor
70,Qandala,SO,86.22,overcast clouds,11.472,49.8728,
71,Mucurapo,TT,77.25,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
72,Sinnamary,GF,76.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
