City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
0,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,10.36,scattered clouds
1,La Ronge,CA,55.1001,-105.2842,59.25,21,75,6.91,broken clouds
2,Ust-Nera,RU,64.5667,143.2,42.87,66,100,6.46,overcast clouds
3,Hilo,US,19.7297,-155.09,80.28,83,100,6.91,light rain
4,Bluff,NZ,-46.6,168.3333,51.8,77,99,28.79,overcast clouds
5,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,13.8,scattered clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,54.95,79,0,6.91,clear sky
7,Jamestown,US,42.097,-79.2353,51.03,93,40,5.75,scattered clouds
8,Mataura,NZ,-46.1927,168.8643,51.48,75,79,9.46,broken clouds
9,Port Blair,IN,11.6667,92.75,84.13,79,100,22.53,moderate rain
10,Saint George,US,37.1041,-113.5841,81.19,12,0,9.22,clear sky
11,Namibe,AO,-15.1961,12.1522,68.29,66,3,3.33,clear sky
12,Busselton,AU,-33.65,115.3333,60.28,83,92,22.26,light rain
13,Arraial Do Cabo,BR,-22.9661,-42.0278,70.59,73,9,14.34,clear sky
14,Khatanga,RU,71.9667,102.5,34.74,69,100,11.52,overcast clouds
15,Matara,LK,5.9485,80.5353,82.47,81,90,11.74,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,76.05,76,51,16.73,broken clouds
17,Chuy,UY,-33.6971,-53.4616,51.37,82,26,6.22,scattered clouds
18,Punta Arenas,CL,-53.15,-70.9167,30.31,93,40,8.05,scattered clouds
19,Altagracia De Orituco,VE,9.8601,-66.3814,72.27,88,77,3.8,broken clouds
20,Qaanaaq,GL,77.484,-69.3632,26.56,80,100,8.28,overcast clouds
21,Tasiilaq,GL,65.6145,-37.6368,32.16,99,100,12.39,snow
22,Rae Bareli,IN,26.2167,81.2333,89.49,42,6,12.01,clear sky
23,Nikolskoye,RU,59.7035,30.7861,47.8,57,87,2.98,overcast clouds
24,Zapolyarnyy,RU,69.4154,30.8136,36.68,99,100,2.84,overcast clouds
25,Giddalur,IN,15.35,78.9167,85.96,58,60,20.54,broken clouds
26,Ilulissat,GL,69.2167,-51.1,32.02,93,100,0.0,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,35.26,69,0,8.05,clear sky
28,Albany,US,42.6001,-73.9662,61.63,81,98,7.0,overcast clouds
29,Bredasdorp,ZA,-34.5322,20.0403,53.65,89,42,3.6,scattered clouds
30,Alem Paraiba,BR,-21.8878,-42.7044,57.87,90,0,2.46,clear sky
31,Thompson,CA,55.7435,-97.8558,51.96,37,40,4.61,scattered clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,79,100,12.66,overcast clouds
33,Seoul,KR,37.5683,126.9778,81.97,44,40,4.61,mist
34,Ho Chi Minh City,VN,10.75,106.6667,84.22,79,75,13.8,broken clouds
35,Tabas,IR,33.5959,56.9244,75.42,19,0,0.6,clear sky
36,Tonj,SS,7.2737,28.6822,74.21,82,100,3.74,overcast clouds
37,Souillac,MU,-20.5167,57.5167,75.58,83,40,10.36,scattered clouds
